番号,33,
名前,後鬼,
呼び名,後鬼,
基礎,HP,4000
基礎,MP,3200
基礎,EP,10000
基礎,CP,1000
素質,処女,
素質,気丈,;真面目なお姉さん系
素質,保守的,
素質,貞操観念,
素質,習得早い,
素質,Ｂ感度,1,
素質,Ｖ感度,1,
素質,異形耐性,
素質,術式知識,
相性,18,140;ついな
相性,25,120
相性,29,120

能力,戦闘素質,70
能力,速度,55
;性格(1) -40以下:超弱気 -20以下:弱気 19以下:普通 39以下:強気 40以上:超強気
フラグ,12,0
;性格(2) (1 おせっかい 2 おてんば 3 がんこもの 4 がんばりや 5 きれもの 6 くろうにん 7 しあわせもの 8 セクシーギャル 9 ぬけめがない 10 ねっけつかん 11 のんきもの 12 ひっこみじあん 13 やさしいひと 14 わがまま 15 ふつう)
フラグ,100,5
;口調 (0:ですね 1:だね 2:だな 3:だわ 4:ですわ 5:や 6:だぜ 7:だぞ 8:なのだ)
フラグ,108,0


;キャラ情報(CSTR)
CSTR,二つ名,VOICEVOX
CSTR,登場名,後鬼
CSTR,ローマ字,Goki

;呼び方リスト(CSTR)
CSTR,基本敬称,基本_呼び名さん
CSTR,呼び方リスト,月読ショウタ_ショウタくん/月読アイ_アイちゃん/弦巻マキ_マキちゃん/結月ゆかり_ゆかりさん/東北ずん子_ずんちゃん/琴葉茜_茜ちゃん/琴葉葵_葵ちゃん/水奈瀬コウ_コウさん/京町セイカ_セイカさん/東北きりたん_きりたんちゃん/紲星あかり_あかりくん/東北イタコ_イタコさん/桜乃そら_そらさん/役ついな_ついなちゃん/伊織弓鶴_弓鶴さん/さとうささら_ささらちゃん/すずきつづみ_つづみちゃん/タカハシ_タカハシさん/ＯＮＥ_ＯＮＥちゃん/ＩＡ_ＩＡさん/ギャラ子_ギャラ子さん/音街ウナ_ウナちゃん/鳴花ヒメ_ヒメちゃん/鳴花ミコト_ミコトちゃん/flower_花さん/あなた_マスター
