行動ID					
TFLAG:99で指定する値も兼ねる					
					
●0～	特殊な行動				
					
0	何もしない				
1	拘束キャラを解放				
2	アイテムを使用				
4	拘束キャラ射出＋解放(現状ヴォッキ・フルヴォッキ用)		

10	砂煙（サンドワーム用）				
11	煙幕（オクトパス・クラーケン用）				
12	睡眠花粉・単体（アルラウネ用）	現在は昏睡			
13	発情花粉・単体（アルラウネ用）				
14	睡眠花粉・全体（ドリアード用）				
15	発情花粉・全体（ドリアード用）				
16	凝視（ガーディアン用）発情＋強制自慰				
17	凝視（ガーディアン用）強制気絶				
18	吸収効果	命中時HPが1割回復			
19	絶頂吸収	命中時HPが1割回復	相手が絶頂時は2割回復		
20	自慰誘発	相手の行動を自慰に書き換える			
21	フラート	次ターン性攻撃威力３倍			
22	全体催眠（ヒュプノ用）	全員を戦闘終了まで行動不能に			
23	回復の光	処女膜とHP回復	浄化力とユニコーンのHP減少		
24	強制戦闘終了				
25	単体催眠（レッサーヒュプノ用）	誰か一人を数ターン行動不能に			
26	自慰見せつけ・全体（ナインテイルズ用）発情				
27	卵幕（ドリフター用）				
28	睡眠攻撃・単体（ドリフター用）	現在は昏睡			
29	ひなたぼっこ	自分のHPを最大HPの30%回復			
30	強制戦闘終了（ドリフター用）				
31	包囲（逃走不能）				
32	乗っ取り	襲うの強制			
33	乗っ取り	おねだり強制			
34	自己増殖				
35	自己回復				
36	悪臭の息	特殊効果	"36（独自、ダメージ低下),20,1300~1306の中からランダムで効果の発動する通常攻撃"		
37	YMあなた	自慰見せつけ			
38	YMあなた	料理（回復）			
39	マミー	触手包帯			
40	幻惑の光	20、21、965、1302、1304、1305、1306のどれかの効果が発動			
41	浄化の光	23か41（独自効果。敵のHPとPTの浄化力を用いHP、MP、EP、汚れ回復）			
42	肉盾化　	肉盾付与　被ダメージ時、確率で拘束中のキャラにダメージを肩代わりさせる(霊撃は除外)
43	自己回復(人型用)					
44	回復のボコォ	処女膜と喪失とHP回復後V性攻撃	ユニコーン
45	何もしない
46	催眠胞子
47	発情胞子
					
以下、主に味方用					
50	強制自慰				
51	諦める				
52	力溜め(拘束時)				
53	拘束から離脱				
54	防御				
55	前進				
56	後退				
57	溜め攻撃(1ターン目)				
58	溜め攻撃(2ターン目)				
59	ばら撒き弾				
60	下段狙い				
61	急所狙い				
62	カウンター（使用時は身構えるだけだし、多分使わない）				
63	弾数消費チェック				
					
					
					
●100～	通常攻撃				
					
100	テスト敵用				
101	クイーン本体	通常			
102	クイーン本体	大振り			
103	クイーン本体	全体			
104	クイーンお供	通常			
105	クイーンお供	大振り			
106	ガーディアン	通常			
107	ガーディアン	二段攻撃			
108	ガーディアン	全体			
109	バイオプラント	通常			
110	バイオプラント	大振り			
111	リビングバイン	通常			
112	リビングバイン	Reserved			
113	スカーレットバイン	通常			
114	スカーレットバイン	二段攻撃			
115	ワーム	通常			
116	ワーム	大振り			
117	サンドワーム	通常			
118	サンドワーム	大振り			
119	オクトパス	通常			
120	オクトパス	吸収			
121	クラーケン	通常			
122	クラーケン	吸収			
123	イソツビ	通常			
124	イソツビ	大振り			
125	アクティニア	通常			
126	アクティニア	吸収			
127	スライム	通常			
128	スライム	全体			
129	ブロブ	通常			
130	ブロブ、スライム化	全体			
131	アルラウネ	通常			
132	アルラウネ	二段攻撃			
133	ドリアード	通常			
134	ドリアード、アルラウネ化	二段攻撃			
135	シェイプシフター	通常			
136	シェイプシフター	二段攻撃			
137	ドッペルゲンガー	通常			
138	ドッペルゲンガー	二段攻撃			
139	ドッペルゲンガー	全体			
140	フェアリーイーター	吸収			
141	コウノトリ	通常			
142	フコウノトリ	通常			
143	フコウノトリ	大振りオーバーキル			
144	フコウノトリ	全体大振りオーバーキル			
145	ユニコーン	拘束時通常攻撃	残虐表現でメッセージ変化		
146	ユニコーン	通常攻撃			
147	ラミア、ラミア化	通常			
148	ミミック	通常			
149	ヴォジャノーイ	大振り			
150	ナインテイルズ	通常			
151	ナインテイルズ	九段攻撃			
152	ナインテイルズ	大振り			
153	ナインテイルズ	全体			
154	ドリフター	通常			
155	ドリフター	通常			
156	ハウンド	通常			
157	ハウンド	全体			
158	男傀儡	通常			
159	男傀儡	大振り			
160	ジェリーフィッシュ	吸収			
161	フレッシュゴーレム	大振り			
162	フレッシュゴーレム	大振り全体			
163	Cワンプ、Cアナコンダ	全体通常攻撃	特殊効果163	拘束時、拘束対象にHP微ダメージ	
164	YMあなた	全体攻撃			
165	YMあなた	通常単体			
					
167	ゲルシューター	通常攻撃			
168	根無し草	通常大振り			
169	テンタクルウォール、タングルフット	通常攻撃			
170	メカテンタクルス	アームでなぐる			
171	メカテンタクルス	アームでたくさんなぐる			
172	メカテンタクルス	アームでみんなをなぐる			
173	悪堕ちキャラ、アルラウネ化、スライム化、ラミア化	通常攻撃（弾幕）			
174	悪堕ちキャラ、触手姫	二段攻撃（弾幕）			
175	悪堕ちキャラ、触手姫	全体攻撃（弾幕）			


182	ファンガス	吸収
183	ヴォッキ、フルヴォッキ	BUCKAKE	肌＋精液性ダメージ
184	ネコマタ	通常
185	オーガ		通常
186	サッカー	通常
187	サッカー	吸収
188	汎用		腹穴効果
189	汎用		腹穴効果大
190	汎用		拘束時
191	汎用		拘束時腹穴をさらに追加

●200～	衣服攻撃				
					
200	テスト敵用				
201	クイーン本体	RAND			
202	クイーン本体	Reserved			
203	クイーン本体	Reserved			
204	クイーンお供	RAND			
205	クイーンお供	Reserved			
206	ガーディアン	RAND			
207	ガーディアン	全体RAND			
208	ガーディアン	Reserved			
209	バイオプラント	RAND			
210	バイオプラント	Reserved			
211	リビングバイン	BV			
212	リビングバイン	Reserved			
213	スカーレットバイン	BV			
214	スカーレットバイン	Reserved			
