とりあえず自分用にメモ
そのうち整理します
細かく書けるに越したことは無いんだろうけど、キリが無いので現状は割と適当
欲しいフラグ（シチュエーション）があったらリクエストしてください


TARGET	口上を表示するキャラID(CFLAGなどの省略表記用)
ARG:0	状況ID
ARG:1	状況ID（サブ）
ARGS:0	キャラ名（戦闘中以外などの口上では殆どが主人公名）
ARGS:1	敵などの名前
ARG:2	雑多なフラグ　各状況IDにて詳細解説
ARG:3	雑多なフラグ　各状況IDにて詳細解説
ARG:4	雑多なフラグ　各状況IDにて詳細解説
ARG:5	Reserved
ARG:6	Reserved



状況IDリスト
※ DC は　Don't Care ＝ 無視してOK

ARG:0	ARG:1
0		DC			初期値　何も表示しない

※コマンドIDはCFLAG:50および敵の攻撃コマンド一覧参照
1		コマンドID	味方の攻撃（発動時）
2		コマンドID	敵の通常攻撃（発動時）　キャラ口上無し　ARG:2に対象キャラ
3		コマンドID	敵の衣服攻撃（発動時）　キャラ口上無し　ARG:2に対象キャラ　ARG:3に部位
4		コマンドID	敵の性攻撃（発動時）　キャラ口上無し　ARG:2に対象キャラ　ARG:3に部位
5		コマンドID	敵の拘束攻撃（発動時）　キャラ口上無し　ARG:2に対象キャラ　ARG:3に丸呑みフラグ
6		コマンドID	敵の寄生攻撃（発動時）　キャラ口上無し　ARG:2に対象キャラ　ARG:3に妊娠フラグ
7		コマンドID	敵のその他攻撃（発動時）　キャラ口上無し　ARG:2に対象キャラ

9		コマンドID	悪堕ちキャラの攻撃（2～7に続いて表示）悪堕ちした側のキャラ口上呼び出し用　ARG:2に対象キャラ　ARG:3に悪堕ちキャラの敵としてのID

11		コマンドID	味方の攻撃（命中）　ARG:2にダメージ
12		コマンドID	敵の通常攻撃（命中）　ARG:2にHPダメージ　ARG:3にCPダメージ
13		コマンドID	敵の衣服攻撃（命中）　ARG:2に部位　ARG:3にCPダメージ　ARG:4にEPダメージ
14		コマンドID	敵の性攻撃（命中）　ARG:2に部位　ARG:3にEPダメージ
15		コマンドID	敵の拘束攻撃（命中）　ARG:2に丸呑みフラグ
16		コマンドID	敵の寄生攻撃（命中）　ARG:2に妊娠フラグ　ARG:3にMPダメージ
17		コマンドID	敵のその他攻撃（命中）


21		コマンドID	味方の攻撃（回避）
22		コマンドID	敵の通常攻撃（回避）
23		コマンドID	敵の衣服攻撃（回避）　ARG:2に部位
